cik,company_name,fis_yr,filling_date,complexity,ex13,10k_url,ex13_url
1012100,SEALED AIR CORP/DE,2018,20190219,0.331550802,0,https://www.sec.gov/Archives/edgar/data/1012100/000162828019001538/q4201810-kdocument.htm,
1032208,SEMPRA ENERGY,2018,20190226,0.352941176,0,https://www.sec.gov/Archives/edgar/data/86521/000008652119000014/sre20181231form10k.htm,
89800,SHERWIN WILLIAMS CO,2018,20190222,0.262032086,1,https://www.sec.gov/Archives/edgar/data/89800/000008980019000004/shw-12312018x10k.htm,['https://www.sec.gov/Archives/edgar/data/89800/000008980019000004/shw-12312018xex13.htm']
91440,SNAP-ON Inc,2018,20190214,0.310160428,0,https://www.sec.gov/Archives/edgar/data/91440/000009144019000003/sna_fy18x10-kdocument.htm,
92122,SOUTHERN CO,2018,20190220,0.355614973,0,https://www.sec.gov/Archives/edgar/data/3153/000009212219000006/so10-k12312018.htm,
92380,SOUTHWEST AIRLINES CO,2018,20190205,0.248663102,0,https://www.sec.gov/Archives/edgar/data/92380/000009238019000022/luv-12312018x10k.htm,
93556,"STANLEY BLACK & DECKER, INC.",2018,20190226,0.331550802,0,https://www.sec.gov/Archives/edgar/data/93556/000009355619000011/swk_10k2018.htm,
93751,STATE STREET CORP,2018,20190221,0.344919786,0,https://www.sec.gov/Archives/edgar/data/93751/000009375119000336/stt-20181231_10k.htm,
96021,SYSCO CORP,2018,20180827,0.288770053,0,https://www.sec.gov/Archives/edgar/data/96021/000009602118000126/syy2018q410-k.htm,
27419,TARGET CORP,2018,20180314,0.197860963,0,https://www.sec.gov/Archives/edgar/data/27419/000002741918000010/tgt-20180203x10k.htm,
97476,TEXAS INSTRUMENTS INC,2018,20190222,0.229946524,0,https://www.sec.gov/Archives/edgar/data/97476/000156459019003839/txn-10k_20181231.htm,
217346,TEXTRON INC,2018,20190214,0.270053476,0,https://www.sec.gov/Archives/edgar/data/217346/000110465919008151/a19-30052_110k.htm,
97745,THERMO FISHER SCIENTIFIC INC.,2018,20190227,0.288770053,0,https://www.sec.gov/Archives/edgar/data/97745/000009774519000007/a201810k.htm,
109198,TJX COMPANIES INC /DE/,2018,20180404,0.259358289,0,https://www.sec.gov/Archives/edgar/data/109198/000119312518107423/d518812d10k.htm,
86312,"TRAVELERS COMPANIES, INC.",2018,20190214,0.35828877,0,https://www.sec.gov/Archives/edgar/data/86312/000008631219000009/trv-12312018x10k.htm,
100885,UNION PACIFIC CORP,2018,20190208,0.195187166,0,https://www.sec.gov/Archives/edgar/data/100885/000010088519000060/unp-20181231x10k.htm,
731766,UNITEDHEALTH GROUP INC,2018,20190212,0.219251337,0,https://www.sec.gov/Archives/edgar/data/731766/000073176619000005/unh2018123110-k.htm,
5513,Unum Group,2018,20190219,0.318181818,0,https://www.sec.gov/Archives/edgar/data/5513/000000551319000004/unm12312018-10xk.htm,
